危在旦夕
刀光剑影
黑森森
晦暝
惶然不安
可骇
急若流星
诚惶诚恐
魂飞魄散
面如土色
疑惧
幽灵
不可终日
栗栗危惧
夏日可畏
羞愧
脸红
无面目见江东父老
慌乱
张皇
心如悬旌
紧急
五色无主
脚忙手乱
忧人发迹怕自穷
握蛇骑虎
抱火寝薪
五马分尸
天有不测风云
大难临头
在劫难逃
仓卒应战
缓不济急
屏声息气
惊吓
忡忡
憷头
叮咛
虎口
露丑
凶杀
心惊肉跳
风声鹤唳
心慌意乱
心虚
千钧一发
丢脸
危亡
惶惶不可终日
体力不支
险象环生
岌岌不可终日
黑灯瞎火
黑黢黢
骇然失色
脸红耳热
心惊胆颤
羞臊
战兢兢
窘急
剧毒
有毒
灾难性
惊惶
担惊受怕
惊慌失措
面无人色
唯恐
缩头缩尾
阴森
严酷
侧目而视
毛发森竖
胁肩累足
暗礁
赧然
面红耳赤
羞面见人
惊慌
发急
心急火燎
芒刺在背
着慌
心切
手忙脚乱
匆猝
心神不定
紧迫
仓卒从事
临阵磨枪
十死一生
虎穴龙潭
齐大非耦
洪水猛兽
夜场梦多
被发缨冠
黑云压城城欲摧
心腹之患
情见势屈
怕生
叮嘱
死路
添堵
凶煞
战战兢兢
九死一生
汗流浃背
动乱
扑腾
骇然
紧张
凶险
生死攸关
结巴
冷峭
唯唯诺诺
鬼魔
中计
颤颤悠悠
风风火火
羞惭
粉身碎骨
露怯
危如累卵
不祥
阴险毒辣
动荡不安
够戗
黑漆寥光
后患无穷
晦冥
惶惶然
惊悚
心焦如焚
可怖
性命攸关
事关重大
有害
不敢当
矜持
警戒
溃不成军
六神无主
后怕
恐惧
谈虎色变
闻风丧胆
畏缩
亡魂丧胆
慑服
血淋淋
惊愕失色
惊心惮胆
人人自危
狼狈万状
担忧
羊落虎口
害臊
腆颜
羞答答
惭怍
惊骇
手足无措
慌神
性急
举止失措
慌慌张张
食不甘味
履虎尾
危若朝露
龙潭虎窟
千难万险
恐后无凭
灭顶之灾
兵临城下
星飞电急
刻不容缓
危机存亡之秋
雪虐风饕
黯然失色
惊弓之鸟
鹰瞵鹗视
失惊打怪
胆怯
冲杀
地狱
惶悚
险兆
凶宅
险要
丢丑
危殆
悔过
匆忙
险恶
七上八下
黑漆漆
